 Person Name ,Ward/Office,Ward Office Phone,Fax,E-mail,Web Site,Ward Office Address,City,State,Zip,City Hall Phone,City Hall Address
" Arena, John",45,(773) 286-4545,(773) 685-4527, ward45@cityofchicago.org,http://ward45.org,4754 North Milwaukee Avenue,Chicago,IL,60630,(312) 744-6841 / 5684,"121 North LaSalle Street, Room 300"
" Austin, Carrie M.",34,(773) 928-6961,(773) 928-8562, caustin@cityofchicago.org,http://committeeonthebudget.cityofchicago.org/index.html,507 West 111th Street,Chicago,IL,60628,(312)744-6820 / 6829,"121 North LaSalle Street, Room 200"
" Beale, Anthony",9,(773) 785-1100,(773) 785-2900, ward09@cityofchicago.org,http://www.ward09.cityofchicago.org/,34 East 112th Place,Chicago,IL,60628,(312) 744-6838 / 3061,"121 North LaSalle Street, Room 200"
" Brookins, Jr., Howard",21,(773) 881-9300,(773) 881-2152, ward21@cityofchicago.org,http://www.howardbrookinsjr.com,"9011 South Ashland Avenue, Unit B",Chicago,IL,60620,(312) 744-4810 / 4811,"121 North LaSalle Street, Room 300"
" Burke, Edward M.",14,(773) 471-1414,(773) 471-1648, eburke@cityofchicago.org,http://www.committeeonfinance.org/,2650 West 51st Street,Chicago,IL,60632,(312) 744-3380 / 3381,"121 North LaSalle Street, Room 302"
" Burnett, Jr., Walter",27,(312) 432-1995,(312) 432-1049, wburnett@cityofchicago.org,http://aldermanburnett.com/,4 North Western Avenue,Chicago,IL,60612,(312) 744-6124 / 6125 ,"121 North LaSalle Street, Room 300"
" Cappleman, James",46,(773) 878-4646,(773) 878-4920, info@james46.org,http://www.James46.org/,4544 North Broadway ,Chicago,IL,60640, (312) 744-6831 / 5694,"121 North LaSalle Street, Room 200"
" Cardenas, George A.",12,(773) 523-8250,(773) 523-8440, ward12@cityofchicago.org, ,3476 South Archer Avenue,Chicago,IL,60608,(312) 744-3068 / 4025,"121 North LaSalle Street, Room 300"
" Cochran, Willie",20,(773) 955-5610,(773) 955-5612, Willie.Cochran@cityofchicago.org,http://the20thward.com,6357 South Cottage Grove Avenue,Chicago,IL,60637,(312) 744-6840 / 5688,"121 North LaSalle Street, Room 300"
" Curtis, Derrick G.",18,(773) 284-5057,(773) 284-5956, Ward18@cityofchicago.org, ,8359 South Pulaski Road,Chicago,IL,60652,(312) 744-6856,"121 North LaSalle Street, Room 300"
